TS,TORQUE_MOTOR,TORQUE_ROD,SPEED_MOTOR,SPEED_ROD,EFFICIENCY_PUMP,LEVEL_DOWNHOLE,FLOW_GAS,FLOW_WATER,TEMP_GAS,PRESSURE_AN,PRESSURE_DH,PRESSURE_GAS,PRESSURE_TUB,PRESSURE_WATER
2022-09-01 00:00:00.000,,,,,,,,0.00307255,,,,,,
2022-09-01 00:00:44.960,,,,110.0,,,,,,,,196.9810791,,208.51890564
2022-09-01 00:01:45.038,,,,,,,,,,,,,,206.28504944
2022-09-01 00:02:45.148,,,,,,,,,,,,,,207.74989319
2022-09-01 00:03:45.171,,,,,,,,,23.097435,,,,,205.25965881
2022-09-01 00:04:45.195,,,,,,,,,,,,,192.6598053,
2022-09-01 00:05:00.000,,,,,,,,0.00307255,,,,,,
2022-09-01 00:07:45.318,,,,,,,,,,182.71954346,,,,
2022-09-01 00:09:45.374,,,,,,,,,23.1931076,,,,,
2022-09-01 00:10:00.000,,,,,,,,0.00307255,,,,,,
2022-09-01 00:15:00.000,,,,,,,,0.00426547,,,,,,
2022-09-01 00:16:45.559,,,,,,,,,23.43228531,,,,,
2022-09-01 00:18:45.595,,,,,,,,,,,,,187.11177063,
2022-09-01 00:19:45.613,253.0,,,,,,7.84664965,,,,,,,
2022-09-01 00:20:00.000,,,,,,,,0.00426547,,,,,,
2022-09-01 00:20:45.653,253.0,,,,,,8.09713745,,,,,,,
2022-09-01 00:21:45.674,253.0,,,,,,5.17204905,,23.75202942,180.63902283,,,,
2022-09-01 00:22:45.692,253.0,,,,,,8.1358633,,,,,,,
2022-09-01 00:23:45.707,253.0,,,,,,7.209723,,,,,,,
2022-09-01 00:24:45.752,253.0,,,,,,7.91833544,,,,,,,
2022-09-01 00:25:00.000,,,,,,,,0.00307171,,,,,,
2022-09-01 00:25:45.791,253.0,,,,,,7.78650093,,,,,,,
2022-09-01 00:26:45.811,253.0,,,,,,7.96859789,,,,,,,
2022-09-01 00:27:45.838,253.0,,,,,,9.42702198,,,,,,,
2022-09-01 00:28:45.864,253.0,,,,,,8.72088051,,23.65636063,,,,,
2022-09-01 00:30:00.000,,,,,,,,0.00307171,,,,,,
2022-09-01 00:32:46.046,,,,,,,,,,,,,190.81047058,
2022-09-01 00:35:00.000,,,,,,,,0.00307171,,,,,,
2022-09-01 00:35:46.112,,,,,,,,,,185.2624054,,,,
