TS,TORQUE_MOTOR,TORQUE_ROD,SPEED_MOTOR,SPEED_ROD,EFFICIENCY_PUMP,LEVEL_DOWNHOLE,FLOW_GAS,FLOW_WATER,TEMP_GAS,PRESSURE_AN,PRESSURE_DH,PRESSURE_GAS,PRESSURE_TUB,PRESSURE_WATER
2017-02-01 00:05:16.479,,,,,,,0.0,7.908e-05,36.72766876,,,,,
2017-02-01 00:07:16.507,,,,,,,,,36.98870087,,,,,
2017-02-01 00:08:16.514,,,,,,,,,,,,,,167.03146362
2017-02-01 00:10:16.533,0.0,,,0.0,,,,,,2375.10498047,,149.46313477,-31.99616623,
2017-02-01 00:11:16.548,,,,,,,,,37.22906876,,,,,
2017-02-01 00:13:16.571,,,,,,,,,37.31508255,,,,,
2017-02-01 00:14:16.580,,,,,,,0.0,8.538e-05,,,,,,
2017-02-01 00:15:16.586,,,,,,,,,37.4031105,,,,,
2017-02-01 00:18:16.631,,,,,,,,,37.59059143,,,,,
2017-02-01 00:21:16.672,,,,,,,,,37.65256119,,,,,167.56910706
2017-02-01 00:22:16.684,,,,,,,,,,,,,,168.59550476
2017-02-01 00:23:16.696,,,,,,,0.0,7.908e-05,,,,,,
2017-02-01 00:24:16.710,0.0,,,0.0,,,,,,2375.10498047,,149.86862183,-31.03294563,
2017-02-01 00:27:16.742,,,,,,,,,38.19124222,,,,,
2017-02-01 00:32:16.807,,,,,,,0.0,8.538e-05,,,,,,
2017-02-01 00:35:16.838,,,,,,,,,,,,,,169.37753296
2017-02-01 00:38:16.869,0.0,,,0.0,,,,,,2374.86401367,,150.37245178,-31.51455498,
2017-02-01 00:41:16.916,,,,,,,0.0,7.908e-05,39.59267807,,,,,
2017-02-01 00:46:16.974,,,,,,,,,40.04971313,,,,,
2017-02-01 00:50:17.033,,,,,,,0.0,8.538e-05,40.30716705,,,,,
2017-02-01 00:52:17.039,0.0,,,0.0,,,,,,2377.99462891,,150.47259521,-29.58810425,170.110672
2017-02-01 00:53:17.052,,,,,,,,,40.41706085,,,,,
2017-02-01 00:55:17.068,,,,,,,,,40.5790329,,,,,
2017-02-01 00:59:17.114,,,,,,,0.0,8.538e-05,,,,,,
2017-02-01 01:00:17.138,,,,,,,,,40.99518967,,,,,
2017-02-01 01:05:17.177,,,,,,,,,,,,,,170.20845032
2017-02-01 01:06:17.199,0.0,,,0.0,,,,,,2376.79052734,,150.72543335,-31.03294563,168.40000916
2017-02-01 01:07:17.207,,,,,,,,,,,,,,231.45075989
2017-02-01 01:08:17.213,,,,,,,0.0,7.908e-05,,,,,,
2017-02-01 01:09:17.219,,,,,,,,,,,,,,231.59739685
2017-02-01 01:11:17.239,,,,,,,,,,,,,,233.55245972
2017-02-01 01:12:17.257,,,,,,,,,,,,,,232.18389893
2017-02-01 01:13:17.267,,,,,,,,,41.86952972,,,,,
2017-02-01 01:15:17.289,,,,,,,,,42.02838135,,,,,
2017-02-01 01:17:17.306,,,,,,,0.0,8.538e-05,42.19854736,,,,,
2017-02-01 01:18:17.313,,,,,,,,,,,,,,231.74401855
2017-02-01 01:19:17.323,,,,,,,,,,,,,,166.88484192
2017-02-01 01:20:17.339,0.0,,,0.0,,,,,,2376.06811523,,150.68621826,-31.51455498,
2017-02-01 01:21:17.356,,,,,,,,,,,,,,168.25338745
2017-02-01 01:22:17.359,,,,,,,,,42.59898758,,,,,
2017-02-01 01:26:17.405,,,,,,,0.0,8.538e-05,,,,,,
2017-02-01 01:31:17.456,,,,,,,,,42.95665359,,,,,
2017-02-01 01:34:17.494,0.0,,,0.0,,,,,,2378.71704102,,150.6441803,-29.58810425,
2017-02-01 01:35:17.503,,,,,,,0.0,9.796e-05,43.13740921,,,,,
2017-02-01 01:38:17.546,,,,,,,,,43.09666443,,,,,
2017-02-01 01:40:17.562,,,,,,,,,42.88323212,,,,,
2017-02-01 01:44:17.607,,,,,,,0.0,8.538e-05,,,,,,
2017-02-01 01:45:17.608,,,,,,,,,42.63710022,,,,,
2017-02-01 01:48:17.638,0.0,,,0.0,,,,,42.7955246,2379.68041992,,150.02456665,-29.10649109,
2017-02-01 01:49:17.648,,,,,,,,,,,,,,168.88877869
2017-02-01 01:51:17.674,,,,,,,,,43.16765213,,,,,
2017-02-01 01:52:17.685,,,,,,,,,,,,,,169.67079163
2017-02-01 01:53:17.700,,,,,,,0.0,8.538e-05,43.32743073,,,,,
2017-02-01 01:57:17.742,,,,,,,,,42.913517,,,,,
2017-02-01 02:00:17.774,,,,,,,,,42.5827446,,,,,
2017-02-01 02:02:17.788,0.0,,,0.0,,,0.0,8.538e-05,42.72906876,2380.88427734,,149.65881348,-30.55133438,
2017-02-01 02:06:17.829,,,,,,,,,43.12679291,,,,,
2017-02-01 02:09:17.855,,,,,,,,,43.3560524,,,,,
2017-02-01 02:11:17.890,,,,,,,0.0,7.908e-05,,,,,,
2017-02-01 02:16:17.933,0.0,,,0.0,,,,,43.28918839,2380.16186523,,150.39201355,-31.2737484,
2017-02-01 02:19:17.971,,,,,,,,,43.09110641,,,,,
2017-02-01 02:20:17.992,,,,,,,0.0,7.908e-05,,,,,,
2017-02-01 02:23:18.019,,,,,,,,,42.91679001,,,,,
2017-02-01 02:29:18.092,,,,,,,0.0,7.908e-05,,,,,,
2017-02-01 02:30:18.113,0.0,,,0.0,,,,,,2378.95776367,,150.32154846,-31.99616623,
2017-02-01 02:32:18.127,,,,,,,,,43.29539871,,,,,
2017-02-01 02:38:18.190,,,,,,,0.0,8.538e-05,,,,,,170.20845032
2017-02-01 02:39:18.197,,,,,,,,,43.45973587,,,,,213.36643982
