TS,TORQUE_MOTOR,TORQUE_ROD,SPEED_MOTOR,SPEED_ROD,EFFICIENCY_PUMP,LEVEL_DOWNHOLE,FLOW_GAS,FLOW_WATER,TEMP_GAS,PRESSURE_AN,PRESSURE_DH,PRESSURE_GAS,PRESSURE_TUB,PRESSURE_WATER
2019-09-01 00:00:00.000,,,,,,,,0.00568956,,,,,,
2019-09-01 00:00:03.687,,,,,,,13.9992218,,,,,,,236.64369202
2019-09-01 00:01:03.723,,,,,,,13.33098316,,,,,224.97883606,,228.29415894
2019-09-01 00:02:03.642,,,,,,,13.30873585,,,,,,,228.69699097
2019-09-01 00:03:03.709,256.0,,,179.0,,,14.2035656,,28.41225624,219.70657349,,225.09899902,223.17408752,225.84057617
2019-09-01 00:04:03.728,,,,179.0,,,13.6589222,,,,,,,234.88591003
2019-09-01 00:05:00.000,,,,,,,,0.00698383,,,,,,
2019-09-01 00:05:03.722,256.0,,,,,,12.30679131,,,,,225.36335754,,
2019-09-01 00:06:03.778,,,,,,,13.18431759,,28.36441994,,,226.1804657,,
2019-09-01 00:07:03.760,,,,,,,14.13105774,,,225.25462341,,,,
2019-09-01 00:08:03.785,,,,,,,13.7446146,,,,,,221.09359741,
2019-09-01 00:09:03.775,,,,,,,13.35075855,,,,,225.33932495,,235.1056366
2019-09-01 00:10:00.000,,,,,,,,0.00637655,,,,,,
2019-09-01 00:10:03.745,,,,,,,11.89645576,,,,,226.94947815,,233.53092957
2019-09-01 00:11:03.806,,,,,,,14.08821106,,,,,,,
2019-09-01 00:12:03.777,,,,,,,13.06813812,,,,,,,
2019-09-01 00:13:03.812,256.0,,,179.0,,,13.98603821,,28.33924294,225.25462341,,226.58901978,221.09359741,233.23796082
2019-09-01 00:14:03.861,,,,,,,13.78581333,,,,,225.14706421,,234.70280457
2019-09-01 00:15:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:15:03.770,,,,,,,13.09697628,,,,,227.40609741,,233.67741394
2019-09-01 00:16:03.831,,,,,,,13.42079639,,,,,226.61305237,,234.99577332
2019-09-01 00:17:03.769,,,,,,,13.35982227,,,,,,,
2019-09-01 00:18:03.826,,,,179.0,,,13.61113167,,,,,,,
2019-09-01 00:19:03.857,256.0,,,,,,13.4175005,,28.42736244,,,226.66111755,,
2019-09-01 00:20:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:20:03.850,,,,,,,13.62101936,,,,,225.65174866,,
2019-09-01 00:21:03.826,,,,,,,13.41502857,,,222.48062134,,225.45948792,,
2019-09-01 00:22:03.878,,,,,,,12.56716442,,,,,226.92544556,223.63642883,
2019-09-01 00:23:03.878,256.0,,,179.0,,,11.92694283,,28.57087135,222.71179199,,226.15643311,226.41047668,235.58171082
2019-09-01 00:24:03.918,,,,,,,13.85914612,,,,,227.16577148,,234.88591003
2019-09-01 00:25:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:25:03.904,,,,,,,12.93959904,,,,,225.38739014,,236.82679749
2019-09-01 00:26:03.910,,,,,,,13.36064625,,,,,,,235.32536316
2019-09-01 00:27:03.918,,,,,,,13.46858692,,,,,,,
2019-09-01 00:28:03.921,,,,,,,13.06978607,,,,,,,
2019-09-01 00:29:03.924,,,,,,,13.42326832,,,,,,,
2019-09-01 00:30:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:30:03.934,,,,,,,13.63997173,,,,,,,
2019-09-01 00:31:03.909,,,,,,,14.12611389,,28.85285378,,,,,
2019-09-01 00:32:03.939,256.0,,,179.0,,,13.51390457,,28.78235817,,,,,235.61833191
2019-09-01 00:33:03.949,256.0,,,,,,13.06319427,,,220.86242676,,226.20449829,223.63642883,234.00700378
2019-09-01 00:34:03.971,,,,,,,12.54491806,,,,,226.87738037,,
2019-09-01 00:35:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:35:03.970,,,,,,,14.1936779,,,221.09359741,,225.38739014,,234.37321472
2019-09-01 00:36:03.940,,,,,,,13.44716358,,,,,225.36335754,227.10398865,237.85218811
2019-09-01 00:37:03.968,,,,,,,13.34169483,,,,,227.02157593,,235.28874207
2019-09-01 00:38:04.001,,,,,,,13.32274342,,,,,,,
2019-09-01 00:39:03.939,,,,,,,13.84596252,,,,,225.24319458,,235.17887878
2019-09-01 00:40:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:40:03.990,,,,,,,13.31944752,,,,,,,236.35072327
2019-09-01 00:41:04.016,,,,,,,13.92424107,,,,,,,
2019-09-01 00:42:04.010,255.0,,,,,,14.2859621,,,,,226.4928894,,
2019-09-01 00:43:03.997,,,,179.0,,,13.98027134,,28.91831207,221.32476807,,224.71447754,225.02345276,236.35072327
2019-09-01 00:44:04.049,,,,,,,13.59382915,,,,,226.03627014,,
2019-09-01 00:45:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:45:04.015,,,,,,,13.28649044,,28.87551308,,,,,
2019-09-01 00:46:04.068,,,,179.0,,,13.1645422,,,,,,,
2019-09-01 00:47:04.090,255.0,,,,,,13.27742767,,,,,225.89207458,,235.654953
2019-09-01 00:48:04.050,,,,,,,13.60453987,,,,,226.75724792,,235.25212097
2019-09-01 00:49:04.089,,,,,,,13.74378967,,29.04671478,223.63642883,,225.45948792,,236.79017639
2019-09-01 00:50:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:50:04.107,,,,,,,13.45293045,,,,,,226.17930603,
2019-09-01 00:51:04.050,,,,,,,13.56252003,,,,,,,236.38734436
2019-09-01 00:52:04.130,,,,,,,13.79899693,,,,,227.4541626,,
2019-09-01 00:53:04.152,255.0,,,179.0,,,13.67787457,,29.08448029,224.3299408,,225.67578125,227.10398865,235.87467957
2019-09-01 00:54:04.136,,,,,,,14.09232998,,,,,,,
2019-09-01 00:55:00.000,,,,,,,,0.00577563,,,,,,
2019-09-01 00:55:04.163,,,,,,,14.01982021,,,,,,,
2019-09-01 00:56:04.185,,,,,,,14.15083122,,,,,,,
2019-09-01 00:57:04.219,,,,,,,12.62731552,,,,,225.81997681,,
2019-09-01 00:58:04.200,,,,,,,13.09862423,,,,,227.09367371,,236.53382874
2019-09-01 00:59:04.217,,,,,,,13.73967075,,,,,,,227.3420105
2019-09-01 01:00:00.000,,,,,,,,0.00641194,,,,,,
2019-09-01 01:00:04.218,,,,179.0,,,13.5518074,,,,,,,
2019-09-01 01:01:04.182,253.99998474,,,,,,11.95578194,,,,,227.50222778,,
2019-09-01 01:02:04.265,,,,,,,12.35046101,,29.13483429,,,225.79594421,,227.8913269
2019-09-01 01:03:04.218,253.99998474,,,179.0,,,13.01457882,,29.16756439,223.40525818,,227.57432556,224.7922821,235.03239441
2019-09-01 01:04:04.233,,,,,,,13.48506641,,,,,226.10836792,228.02864075,236.68031311
2019-09-01 01:05:00.000,,,,,,,,0.00750746,,,,,,
2019-09-01 01:05:04.301,,,,,,,12.90664005,,,,,,,235.39860535
2019-09-01 01:06:04.292,,,,,,,14.25877285,,,,,,,236.97328186
2019-09-01 01:07:04.296,,,,,,,13.69682503,,,,,225.98820496,,
2019-09-01 01:08:04.317,,,,,,,13.28319454,,,,,227.26190186,,235.58171082
2019-09-01 01:09:04.278,,,,,,,13.79652405,,29.2808609,,,226.87738037,,
2019-09-01 01:10:00.000,,,,,,,,0.00583617,,,,,,
2019-09-01 01:10:04.322,,,,,,,13.29884815,,,,,225.65174866,,
