TS,TORQUE_MOTOR,TORQUE_ROD,SPEED_MOTOR,SPEED_ROD,EFFICIENCY_PUMP,LEVEL_DOWNHOLE,FLOW_GAS,FLOW_WATER,TEMP_GAS,PRESSURE_AN,PRESSURE_DH,PRESSURE_GAS,PRESSURE_TUB,PRESSURE_WATER
2022-01-01 00:00:00.000,,,,,,,,0.00230102,,,,,,
2022-01-01 00:00:07.704,,,,,,,,,,173.47279358,,,,
2022-01-01 00:01:07.765,,,,,,,,,,,,181.3840332,,
2022-01-01 00:02:07.816,,,,,,,,,,,,182.56163025,,189.00001526
2022-01-01 00:03:07.865,,,,,,,,,,,,181.52822876,,187.9380188
2022-01-01 00:04:07.918,,,,129.0,,,,,,,,182.75389099,,191.30714417
2022-01-01 00:05:00.000,,,,,,,,0.00230102,,,,,,
2022-01-01 00:05:07.906,,,,129.0,,,,,29.5024147,,,,177.40266418,
2022-01-01 00:06:07.900,,,,130.0,,,,,,,,182.97016907,,192.14941406
2022-01-01 00:07:07.998,,,,129.0,,,,,,,,181.0716095,,190.24513245
2022-01-01 00:08:08.000,253.0,,,130.0,,,,,,,,182.10501099,,
2022-01-01 00:09:08.003,,,,129.0,,,,,29.76425171,,,181.48016357,,
2022-01-01 00:10:00.000,,,,,,,,0.00230102,,,,,,
2022-01-01 00:10:08.080,,,,,,,,,,,,,,190.09864807
2022-01-01 00:11:08.187,,,,,,,,,,,,,,191.67333984
2022-01-01 00:14:08.444,,,,,,,,,,174.62864685,,,,
2022-01-01 00:15:00.000,,,,,,,,0.00230102,,,,,,
2022-01-01 00:18:08.631,,,,,,,,,29.54773331,,,,,
2022-01-01 00:19:08.712,253.0,,,129.0,,,9.55473614,,29.58046341,172.77928162,,181.81661987,178.3273468,189.58595276
2022-01-01 00:20:00.000,,,,,,,,0.00230102,,,,,,
2022-01-01 00:20:08.810,,,,,,,9.51188946,,29.70383072,,,181.88871765,,
2022-01-01 00:21:08.903,,,,,,,9.3438015,,,,,183.71517944,,190.86769104
2022-01-01 00:22:08.910,252.0,,,,,,9.19136715,,,,,182.41743469,,
2022-01-01 00:23:08.908,,,,129.0,,,7.80792427,,,,,182.29727173,,
2022-01-01 00:24:09.017,,,,,,,8.98290253,,,,,183.210495,,190.5014801
2022-01-01 00:25:00.000,,,,,,,,0.00108378,,,,,,
2022-01-01 00:25:09.013,,,,,,,8.93428898,,,,,180.99951172,,189.3296051
2022-01-01 00:26:09.076,,,,,,,10.0779562,,,,,182.82597351,,191.70996094
2022-01-01 00:27:09.132,,,,129.0,,,9.86784458,,,,,181.55226135,,190.13526917
2022-01-01 00:28:09.174,,,,130.0,,,9.00020599,,30.60516357,169.77410889,,182.65776062,,491.56118774
2022-01-01 00:29:09.202,,,,129.0,,,9.10896969,,,,,,,188.89015198
2022-01-01 00:30:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:30:09.228,,,,129.0,,,,,,,,181.55226135,,190.02540588
2022-01-01 00:31:09.262,,,,130.0,,,,,,,,,,
2022-01-01 00:32:09.305,,,,129.0,,,,,30.49942017,,,,,188.26760864
2022-01-01 00:33:09.404,,,,,,,,,,,,,176.24681091,189.9155426
2022-01-01 00:35:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:35:09.511,,,,,,,,,30.73356056,,,,,
2022-01-01 00:36:09.526,252.0,,,,,,,,,,,,,
2022-01-01 00:39:09.604,,,,129.0,,,,,,,,,,
2022-01-01 00:40:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:40:09.689,,,,130.0,,,,,,,,,,
2022-01-01 00:41:09.766,,,,129.0,,,,,,,,,,
2022-01-01 00:42:09.856,,,,,,,,,,174.3974762,,,,
2022-01-01 00:45:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:45:09.983,,,,,,,,,30.81412697,,,,,
2022-01-01 00:47:10.172,,,,,,,,,,,,,179.25202942,
2022-01-01 00:49:10.176,252.0,,,129.0,,,8.52642441,,31.06085777,170.23641968,,182.8740387,176.24681091,191.34376526
2022-01-01 00:50:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:50:10.169,252.0,,,,,,9.77226543,,31.13135338,,,180.90338135,,188.30421448
2022-01-01 00:51:10.262,,,,,,,8.65578747,,,,,182.15307617,,190.17189026
2022-01-01 00:52:10.289,,,,,,,9.43031788,,,,,181.26387024,,190.06202698
2022-01-01 00:53:10.386,,,,,,,10.69758129,,,,,182.20114136,,187.79153442
2022-01-01 00:54:10.404,,,,,,,9.91975403,,,,,180.90338135,,191.45361328
2022-01-01 00:55:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 00:55:10.404,,,,129.0,,,9.81428623,,,,,181.69645691,,188.81690979
2022-01-01 00:56:10.421,,,,,,,7.35309315,,,172.54811096,,183.49888611,,190.5014801
2022-01-01 00:57:10.435,,,,,,,9.29765892,,31.4611721,,,181.45613098,,
2022-01-01 00:58:10.443,,,,,,,10.11915493,,,,,180.3986969,,187.71829224
2022-01-01 00:59:10.619,,,,,,,9.13698483,,31.26982689,,,181.31193542,,
2022-01-01 01:00:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:01:10.616,,,,,,,,,,,,,178.09617615,
2022-01-01 01:03:10.721,,,,,,,,,30.90728188,,,,,
2022-01-01 01:04:10.818,252.0,,,,,,,,,,,,,
2022-01-01 01:05:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:06:11.010,,,,129.0,,,,,,,,,,
2022-01-01 01:07:11.033,,,,130.0,,,,,30.44151306,,,,,187.68167114
2022-01-01 01:08:11.035,,,,129.0,,,,,,,,,,191.05079651
2022-01-01 01:10:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:10:11.159,,,,,,,,,,176.70915222,,,,
2022-01-01 01:15:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:15:11.382,,,,,,,,,30.09658813,,,,179.02085876,
2022-01-01 01:18:11.450,252.0,,,129.0,,,,,,,,,,
2022-01-01 01:19:11.549,253.0,,,130.0,,,9.30754662,,29.91783142,173.47279358,,181.3840332,178.78968811,189.51271057
2022-01-01 01:20:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:20:11.571,,,,129.0,,,9.37511158,,29.93293762,,,180.63902283,,191.67333984
2022-01-01 01:21:11.676,,,,,,,7.75107002,,,,,182.17710876,,189.87892151
2022-01-01 01:22:11.669,,,,,,,7.05316925,,30.14190674,,,,,192.03955078
2022-01-01 01:23:11.777,,,,,,,8.05264282,,,,,,,
2022-01-01 01:24:11.782,,,,129.0,,,9.31166649,,,168.84942627,,180.35063171,,
2022-01-01 01:25:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:25:11.802,,,,130.0,,,9.3841753,,,,,181.67242432,,191.23390198
2022-01-01 01:26:11.784,,,,129.0,,,9.79203892,,,,,,,
2022-01-01 01:27:11.897,,,,,,,9.23586082,,30.74111366,,,182.00888062,,192.62548828
2022-01-01 01:28:11.926,,,,,,,9.10484982,,,,,183.64308167,,191.85644531
2022-01-01 01:29:11.934,,,,,,,9.66350079,,,,,,176.24681091,189.73243713
2022-01-01 01:30:00.000,,,,,,,,0.00209018,,,,,,
2022-01-01 01:30:12.044,,,,,,,,,,,,180.99951172,,190.31837463
2022-01-01 01:31:12.063,,,,129.0,,,,,30.91231728,,,,,192.07617188
2022-01-01 01:32:12.097,252.0,,,130.0,,,,,,,,183.13839722,,189.65919495
2022-01-01 01:33:12.139,,,,129.0,,,,,,,,,,
2022-01-01 01:34:12.258,,,,,,,,,,,,180.11030579,,
