GROUP_ID,WELL_CD,ROC_VOLTAGE,FLOW,PRESSURE_TH,TSTART
42,MKA1,1405-EB-0017.RM_PV,1405-F-0017.RM_PV,1405-P_TH-0017.RM_PV,29/06/2016 4:59
42,MKA10,1405-EB-0194.RM_PV,1405-F-0194.RM_PV,1405-P_TH-0194.RM_PV,29/06/2016 5:01
42,MKA11,1405-EB-0214.RM_PV,1405-F-0214.RM_PV,1405-P_TH-0214.RM_PV,29/06/2016 5:01
42,MKA12,1405-EB-0427.RM_PV,1405-F-0427.RM_PV,1405-P_TH-0427.RM_PV,29/06/2016 5:02
42,MKA13,1405-EB-8516.RM_PV,1405-F-8516.RM_PV,1405-P_TH-8516.RM_PV,29/06/2016 5:03
42,MKA2,1405-EB-0037.RM_PV,1405-F-0037.RM_PV,1405-P_TH-0037.RM_PV,29/06/2016 5:04
42,MKA3,1405-EB-0087.RM_PV,1405-F-0087.RM_PV,1405-P_TH-0087.RM_PV,29/06/2016 5:03
42,MKA4L,1405-EB-0057.RM_PV,1405-F-0057.RM_PV,1405-P_TH-0057.RM_PV,29/06/2016 5:04
42,MKA5L,1405-EB-0067.RM_PV,1405-F-0067.RM_PV,1405-P_TH-0067.RM_PV,29/06/2016 5:05
42,MKA7,1405-EB-0142.RM_PV,1405-F-0142.RM_PV,1405-P_TH-0142.RM_PV,29/06/2016 5:05
42,MKA9,1405-EB-0174.RM_PV,1405-F-0174.RM_PV,1405-P_TH-0174.RM_PV,29/06/2016 5:06
42,MOLA1,1163-EB-0002.RM_PV,1163-F-0002.RM_PV,1163-P_TH-0002.RM_PV,29/06/2016 5:11
8,MONT1,1132-EB-00001.RM_PV,1132-F-00001.RM_PV,1132-P_TH-00001.RM_PV,17/12/2020 8:25
23,MONW1,1122-EB-00020.RM_PV,1122-F-00020.RM_PV,1122-P_TH-00020.RM_PV,12/05/2021 3:27
46,MOOA1,1093-EB-0001.RM_PV,1093-F-0001.RM_PV,1093-P_TH-0001.RM_PV,29/06/2016 5:59
48,MOOL1,1237-EB-0001.RM_PV,1237-F-0001.RM_PV,1237-P_TH-0001.RM_PV,29/06/2016 5:04
